# samples=4671226772094713856 bins=1000 xmax=20
x_center, volfrac_A, count_A, count_total
5.730000e+00,9.999492e-01,39401,39403
5.750000e+00,9.999495e-01,39633,39635
5.770000e+00,9.999746e-01,39352,39353
5.790000e+00,9.999490e-01,39251,39253
5.810000e+00,1.000000e+00,38288,38288
5.830000e+00,1.000000e+00,38872,38872
5.850000e+00,1.000000e+00,38316,38316
5.870000e+00,1.000000e+00,39167,39167
5.890000e+00,1.000000e+00,38618,38618
5.910000e+00,9.999229e-01,38929,38932
5.930000e+00,1.000000e+00,38478,38478
5.950000e+00,1.000000e+00,38627,38627
5.970000e+00,9.999741e-01,38541,38542
5.990000e+00,9.999742e-01,38790,38791
6.010000e+00,9.999742e-01,38765,38766
6.030000e+00,1.000000e+00,37719,37719
6.050000e+00,1.000000e+00,38245,38245
6.070000e+00,1.000000e+00,38780,38780
6.090000e+00,1.000000e+00,38514,38514
6.110000e+00,1.000000e+00,38712,38712
6.130000e+00,1.000000e+00,39097,39097
6.150000e+00,1.000000e+00,39056,39056
6.170000e+00,1.000000e+00,38855,38855
6.190000e+00,1.000000e+00,38343,38343
6.210000e+00,1.000000e+00,38415,38415
6.230000e+00,1.000000e+00,38417,38417
6.250000e+00,1.000000e+00,38756,38756
6.270000e+00,1.000000e+00,39049,39049
6.290000e+00,1.000000e+00,39635,39635
6.310000e+00,1.000000e+00,39728,39728
6.330000e+00,1.000000e+00,39669,39669
6.350000e+00,1.000000e+00,39431,39431
6.370000e+00,1.000000e+00,38694,38694
6.390000e+00,1.000000e+00,38478,38478
6.410000e+00,1.000000e+00,38770,38770
6.430000e+00,1.000000e+00,39021,39021
6.450000e+00,1.000000e+00,39126,39126
6.470000e+00,1.000000e+00,38646,38646
6.490000e+00,1.000000e+00,38116,38116
6.510000e+00,1.000000e+00,37843,37843
6.530000e+00,1.000000e+00,38319,38319
6.550000e+00,1.000000e+00,38454,38454
6.570000e+00,1.000000e+00,38965,38965
6.590000e+00,1.000000e+00,39472,39472
6.610000e+00,1.000000e+00,39377,39377
6.630000e+00,1.000000e+00,39288,39288
6.650000e+00,1.000000e+00,39236,39236
6.670000e+00,1.000000e+00,39166,39166
6.690000e+00,1.000000e+00,39540,39540
6.710000e+00,1.000000e+00,38613,38613
6.730000e+00,1.000000e+00,38682,38682
6.750000e+00,1.000000e+00,38529,38529
6.770000e+00,1.000000e+00,39672,39672
6.790000e+00,1.000000e+00,39537,39537
6.810000e+00,1.000000e+00,39056,39056
6.830000e+00,1.000000e+00,38687,38687
6.850000e+00,1.000000e+00,38316,38316
6.870000e+00,1.000000e+00,38966,38966
