# step=10000 samples=4671226772094713856 bins=1000 vmax=30
v_center, density, count
1.171000e+01,2.581510e-02,39652
1.173000e+01,2.556966e-02,39275
1.175000e+01,2.572135e-02,39508
1.177000e+01,2.546940e-02,39121
1.179000e+01,2.557617e-02,39285
1.181000e+01,2.583919e-02,39689
1.183000e+01,2.564844e-02,39396
1.185000e+01,2.553841e-02,39227
1.187000e+01,2.511654e-02,38579
1.189000e+01,2.529687e-02,38856
1.191000e+01,2.532487e-02,38899
1.193000e+01,2.516992e-02,38661
1.195000e+01,2.500716e-02,38411
1.197000e+01,2.497786e-02,38366
1.199000e+01,2.513346e-02,38605
1.201000e+01,2.532422e-02,38898
1.203000e+01,2.521354e-02,38728
1.205000e+01,2.543034e-02,39061
1.207000e+01,2.491797e-02,38274
1.209000e+01,2.513737e-02,38611
1.211000e+01,2.545964e-02,39106
1.213000e+01,2.521419e-02,38729
1.215000e+01,2.478385e-02,38068
1.217000e+01,2.494336e-02,38313
1.219000e+01,2.523177e-02,38756
1.221000e+01,2.560417e-02,39328
1.223000e+01,2.544010e-02,39076
1.225000e+01,2.568034e-02,39445
1.227000e+01,2.541927e-02,39044
1.229000e+01,2.545833e-02,39104
1.231000e+01,2.522331e-02,38743
1.233000e+01,2.563542e-02,39376
1.235000e+01,2.583789e-02,39687
1.237000e+01,2.542253e-02,39049
1.239000e+01,2.550521e-02,39176
1.241000e+01,2.584440e-02,39697
1.243000e+01,2.552995e-02,39214
1.245000e+01,2.530143e-02,38863
1.247000e+01,2.561784e-02,39349
1.249000e+01,2.566081e-02,39415
1.251000e+01,2.529427e-02,38852
1.253000e+01,2.531901e-02,38890
1.255000e+01,2.501823e-02,38428
1.257000e+01,2.549935e-02,39167
1.259000e+01,2.529167e-02,38848
1.261000e+01,2.515234e-02,38634
1.263000e+01,2.521029e-02,38723
1.265000e+01,2.521615e-02,38732
1.267000e+01,2.568294e-02,39449
1.269000e+01,2.538151e-02,38986
1.271000e+01,2.542318e-02,39050
1.273000e+01,2.526823e-02,38812
1.275000e+01,2.548503e-02,39145
1.277000e+01,2.522266e-02,38742
1.279000e+01,2.506315e-02,38497
1.281000e+01,2.467513e-02,37901
1.283000e+01,2.513997e-02,38615
1.285000e+01,2.592122e-02,39815
1.287000e+01,2.527344e-02,38820
1.289000e+01,2.519336e-02,38697
1.291000e+01,2.559115e-02,39308
1.293000e+01,2.530794e-02,38873
1.295000e+01,2.541081e-02,39031
1.297000e+01,2.496224e-02,38342
1.299000e+01,2.470964e-02,37954
1.301000e+01,2.504948e-02,38476
1.303000e+01,2.552344e-02,39204
1.305000e+01,2.536393e-02,38959
1.307000e+01,2.559635e-02,39316
1.309000e+01,2.536393e-02,38959
1.311000e+01,2.552409e-02,39205
1.313000e+01,2.510352e-02,38559
1.315000e+01,2.540820e-02,39027
1.317000e+01,2.546289e-02,39111
1.319000e+01,2.574544e-02,39545
1.321000e+01,2.532682e-02,38902
1.323000e+01,2.532292e-02,38896
1.325000e+01,2.503320e-02,38451
1.327000e+01,2.534375e-02,38928
1.329000e+01,2.555664e-02,39255
1.331000e+01,2.548828e-02,39150
1.333000e+01,2.552344e-02,39204
1.335000e+01,2.551953e-02,39198
1.337000e+01,2.575326e-02,39557
1.339000e+01,2.556901e-02,39274
1.341000e+01,2.498828e-02,38382
1.343000e+01,2.497135e-02,38356
1.345000e+01,2.513867e-02,38613
1.347000e+01,2.504362e-02,38467
1.349000e+01,2.491276e-02,38266
1.351000e+01,2.497396e-02,38360
1.353000e+01,2.483008e-02,38139
1.355000e+01,2.497786e-02,38366
1.357000e+01,2.509961e-02,38553
1.359000e+01,2.519857e-02,38705
1.361000e+01,2.524609e-02,38778
1.363000e+01,2.571680e-02,39501
1.365000e+01,2.574023e-02,39537
1.367000e+01,2.567318e-02,39434
1.369000e+01,2.527148e-02,38817
1.371000e+01,2.557943e-02,39290
1.373000e+01,2.534049e-02,38923
1.375000e+01,2.564063e-02,39384
1.377000e+01,2.571484e-02,39498
1.379000e+01,2.525391e-02,38790
1.381000e+01,2.527083e-02,38816
1.383000e+01,2.526042e-02,38800
1.385000e+01,2.504753e-02,38473
1.387000e+01,2.508789e-02,38535
1.389000e+01,2.557227e-02,39279
1.391000e+01,2.500260e-02,38404
1.393000e+01,2.530208e-02,38864
1.395000e+01,2.505599e-02,38486
1.397000e+01,2.502279e-02,38435
1.399000e+01,2.475326e-02,38021
1.401000e+01,2.458594e-02,37764
1.403000e+01,2.462370e-02,37822
1.405000e+01,2.482747e-02,38135
1.407000e+01,2.494792e-02,38320
1.409000e+01,2.512500e-02,38592
1.411000e+01,2.534570e-02,38931
1.413000e+01,2.561328e-02,39342
1.415000e+01,2.572331e-02,39511
1.417000e+01,2.505469e-02,38484
1.419000e+01,2.528971e-02,38845
1.421000e+01,2.510482e-02,38561
1.423000e+01,2.563086e-02,39369
1.425000e+01,2.515169e-02,38633
1.427000e+01,2.536133e-02,38955
