time,kinetic_energy,potential_energy,total_energy
2.050000,589.650242,1791.030271,2380.680513,0.000000
2.060000,603.198496,1784.293964,2387.492460,0.000000
2.070000,614.567963,1777.883051,2392.451014,0.000000
2.080000,622.267146,1772.152320,2394.419466,0.000000
2.090000,628.595869,1766.852907,2395.448776,0.000000
2.100000,627.999291,1762.941169,2390.940460,0.000000
2.110000,626.508291,1759.615762,2386.124053,0.000000
2.120000,632.810366,1757.829214,2390.639580,0.000000
2.130000,636.476881,1757.665093,2394.141974,0.000000
2.140000,633.197699,1758.941792,2392.139490,0.000000
2.150000,626.113382,1761.400606,2387.513988,0.000000
2.160000,619.611945,1764.303205,2383.915150,0.000000
2.170000,615.543505,1767.547682,2383.091187,0.000000
2.180000,614.271039,1771.315085,2385.586124,0.000000
2.190000,610.423338,1774.628069,2385.051406,0.000000
2.200000,606.103061,1776.482493,2382.585555,0.000000
2.210000,604.830047,1777.486206,2382.316253,0.000000
2.220000,604.976185,1777.975254,2382.951439,0.000000
2.230000,606.136586,1777.572570,2383.709156,0.000000
2.240000,605.551828,1777.189975,2382.741803,0.000000
2.250000,604.932997,1776.503361,2381.436358,0.000000
2.260000,603.582884,1775.580619,2379.163503,0.000000
2.270000,602.369208,1774.182177,2376.551385,0.000000
2.280000,606.113149,1772.379506,2378.492655,0.000000
2.290000,611.876939,1770.348192,2382.225131,0.000000
2.300000,615.299316,1768.044917,2383.344233,0.000000
2.310000,615.380464,1765.360640,2380.741104,0.000000
2.320000,618.515594,1762.983750,2381.499344,0.000000
2.330000,629.302575,1759.801517,2389.104092,0.000000
2.340000,634.579064,1756.692205,2391.271269,0.000000
2.350000,632.033168,1753.586130,2385.619298,0.000000
2.360000,631.925258,1752.137156,2384.062413,0.000000
2.370000,631.751336,1751.792100,2383.543436,0.000000
2.380000,624.683176,1752.468282,2377.151459,0.000000
2.390000,616.281509,1753.348195,2369.629704,0.000000
2.400000,611.988225,1754.743935,2366.732160,0.000000
2.410000,609.758174,1757.120122,2366.878295,0.000000
2.420000,606.146640,1760.606361,2366.753001,0.000000
2.430000,602.221665,1763.996317,2366.217982,0.000000
2.440000,599.941786,1767.596383,2367.538169,0.000000
2.450000,597.075264,1771.677492,2368.752756,0.000000
2.460000,588.189018,1775.246825,2363.435843,0.000000
2.470000,578.291910,1778.944290,2357.236201,0.000000
2.480000,577.700034,1781.898578,2359.598612,0.000000
2.490000,576.787947,1783.229952,2360.017899,0.000000
2.500000,570.837788,1783.810639,2354.648427,0.000000
2.510000,571.508181,1782.727917,2354.236097,0.000000
2.520000,570.968860,1780.801840,2351.770700,0.000000
2.530000,571.272875,1777.780734,2349.053609,0.000000
2.540000,571.586205,1774.651988,2346.238193,0.000000
2.550000,574.026628,1771.386830,2345.413458,0.000000
2.560000,579.977084,1768.212744,2348.189828,0.000000
2.570000,583.286711,1765.010266,2348.296977,0.000000
2.580000,585.308508,1762.226100,2347.534608,0.000000
2.590000,591.038763,1760.209910,2351.248673,0.000000
2.600000,595.343709,1759.012539,2354.356248,0.000000
2.610000,592.491825,1758.600809,2351.092634,0.000000
2.620000,586.332884,1759.834332,2346.167216,0.000000
2.630000,579.918884,1762.072800,2341.991684,0.000000
2.640000,570.763831,1765.069712,2335.833543,0.000000
2.650000,560.638868,1767.781733,2328.420601,0.000000
2.660000,556.966436,1769.775164,2326.741600,0.000000
2.670000,558.517329,1771.692056,2330.209385,0.000000
2.680000,558.615833,1772.478405,2331.094238,0.000000
2.690000,562.999914,1772.976341,2335.976255,0.000000
2.700000,567.210407,1772.542244,2339.752651,0.000000
2.710000,566.426242,1772.293882,2338.720123,0.000000
2.720000,565.354455,1772.153787,2337.508241,0.000000
2.730000,565.761815,1771.922223,2337.684038,0.000000
2.740000,567.078116,1771.434312,2338.512428,0.000000
2.750000,564.651100,1769.324613,2333.975713,0.000000
2.760000,562.696677,1766.284098,2328.980775,0.000000
2.770000,566.640111,1763.532737,2330.172848,0.000000
2.780000,572.878995,1760.464987,2333.343982,0.000000
2.790000,578.004843,1757.220275,2335.225118,0.000000
2.800000,581.676680,1754.098084,2335.774764,0.000000
2.810000,584.036777,1751.915175,2335.951952,0.000000
2.820000,587.208284,1749.710770,2336.919054,0.000000
2.830000,591.160739,1747.596789,2338.757527,0.000000
2.840000,592.032825,1745.816566,2337.849391,0.000000
2.850000,586.086665,1743.768228,2329.854893,0.000000
2.860000,584.567127,1741.286528,2325.853654,0.000000
2.870000,593.591553,1738.468266,2332.059818,0.000000
2.880000,598.968357,1735.320978,2334.289336,0.000000
2.890000,597.083142,1732.726928,2329.810070,0.000000
2.900000,598.059295,1731.703035,2329.762330,0.000000
2.910000,599.932872,1731.946983,2331.879856,0.000000
2.920000,598.580517,1733.842915,2332.423432,0.000000
2.930000,591.308362,1736.730609,2328.038971,0.000000
2.940000,585.384135,1740.807611,2326.191747,0.000000
2.950000,583.424540,1744.736599,2328.161139,0.000000
2.960000,581.757613,1748.777371,2330.534984,0.000000
2.970000,582.757815,1752.334697,2335.092512,0.000000
2.980000,580.943894,1755.300065,2336.243959,0.000000
2.990000,577.913693,1757.383850,2335.297542,0.000000
3.000000,580.103863,1759.223793,2339.327656,0.000000
3.010000,578.467894,1760.837807,2339.305701,0.000000
3.020000,571.820311,1761.858120,2333.678431,0.000000
3.030000,571.310631,1762.455084,2333.765715,0.000000
3.040000,571.947674,1763.134418,2335.082092,0.000000
3.050000,569.154990,1764.118725,2333.273715,0.000000
3.060000,567.510959,1764.533088,2332.044047,0.000000
3.070000,566.255469,1764.867596,2331.123065,0.000000
3.080000,565.406465,1765.084212,2330.490677,0.000000
3.090000,567.844122,1765.330944,2333.175065,0.000000
3.100000,564.487257,1765.107056,2329.594313,0.000000
3.110000,562.503487,1764.440484,2326.943970,0.000000
3.120000,567.121947,1762.945428,2330.067375,0.000000
3.130000,566.077709,1760.821762,2326.899471,0.000000
3.140000,568.770784,1758.080615,2326.851399,0.000000
3.150000,573.030340,1754.429265,2327.459604,0.000000
3.160000,577.366949,1750.768936,2328.135885,0.000000
3.170000,583.749692,1746.757306,2330.506999,0.000000
3.180000,583.797615,1743.599569,2327.397184,0.000000
3.190000,581.631202,1741.207860,2322.839062,0.000000
3.200000,583.433571,1739.453389,2322.886960,0.000000
3.210000,590.027275,1739.091459,2329.118734,0.000000
3.220000,594.850436,1739.609970,2334.460406,0.000000
3.230000,596.392966,1740.568522,2336.961488,0.000000
3.240000,599.794713,1741.920464,2341.715176,0.000000
3.250000,599.953727,1743.852209,2343.805936,0.000000
3.260000,600.646486,1746.453455,2347.099941,0.000000
3.270000,602.581364,1750.917988,2353.499352,0.000000
3.280000,595.872858,1755.710058,2351.582916,0.000000
3.290000,588.750067,1760.800063,2349.550130,0.000000
3.300000,581.759796,1764.740857,2346.500653,0.000000
3.310000,573.243788,1768.034825,2341.278613,0.000000
3.320000,571.289287,1770.291604,2341.580891,0.000000
3.330000,573.008951,1771.706798,2344.715749,0.000000
3.340000,578.101753,1771.306562,2349.408315,0.000000
3.350000,577.395544,1770.190426,2347.585970,0.000000
3.360000,572.462554,1768.484727,2340.947281,0.000000
3.370000,567.839056,1765.695679,2333.534735,0.000000
3.380000,569.107189,1761.863231,2330.970421,0.000000
3.390000,572.854003,1757.158045,2330.012048,0.000000
3.400000,574.925744,1751.938860,2326.864604,0.000000
3.410000,578.624574,1746.957751,2325.582326,0.000000
3.420000,587.503743,1742.304016,2329.807758,0.000000
3.430000,594.642842,1738.698696,2333.341538,0.000000
3.440000,595.675505,1736.626683,2332.302189,0.000000
3.450000,595.971130,1735.395610,2331.366740,0.000000
3.460000,595.179605,1735.690471,2330.870076,0.000000
3.470000,598.022144,1736.145064,2334.167208,0.000000
3.480000,602.371283,1738.119103,2340.490386,0.000000
3.490000,597.970882,1741.286473,2339.257354,0.000000
3.500000,591.552475,1744.890272,2336.442747,0.000000
3.510000,588.301346,1749.668457,2337.969804,0.000000
3.520000,582.963875,1754.123251,2337.087127,0.000000
3.530000,574.968759,1758.477211,2333.445970,0.000000
3.540000,567.613780,1761.482978,2329.096758,0.000000
3.550000,562.694744,1763.472050,2326.166795,0.000000
3.560000,562.202262,1764.503237,2326.705499,0.000000
3.570000,566.059445,1765.004733,2331.064178,0.000000
3.580000,567.237073,1764.632252,2331.869326,0.000000
3.590000,569.486809,1762.733371,2332.220180,0.000000
3.600000,571.381250,1760.448934,2331.830185,0.000000
3.610000,576.495979,1757.388174,2333.884153,0.000000
3.620000,583.313856,1754.005431,2337.319287,0.000000
3.630000,586.906445,1750.772614,2337.679060,0.000000
3.640000,592.486592,1748.871476,2341.358069,0.000000
3.650000,599.706521,1747.066472,2346.772993,0.000000
3.660000,604.836716,1745.766242,2350.602958,0.000000
3.670000,599.525551,1745.093627,2344.619178,0.000000
3.680000,589.871512,1744.648474,2334.519986,0.000000
3.690000,588.339794,1745.224758,2333.564552,0.000000
3.700000,597.859572,1745.890037,2343.749610,0.000000
3.710000,603.369739,1747.163956,2350.533694,0.000000
3.720000,602.549807,1748.970482,2351.520289,0.000000
3.730000,599.609574,1750.797631,2350.407205,0.000000
3.740000,603.400475,1752.563167,2355.963642,0.000000
3.750000,606.793736,1754.401093,2361.194829,0.000000
3.760000,603.555085,1756.251640,2359.806725,0.000000
3.770000,599.941871,1758.715389,2358.657260,0.000000
3.780000,595.252593,1761.838162,2357.090755,0.000000
3.790000,586.493237,1765.643687,2352.136923,0.000000
3.800000,578.965646,1768.301352,2347.266998,0.000000
3.810000,575.683735,1770.505026,2346.188761,0.000000
3.820000,571.110468,1772.096315,2343.206782,0.000000
3.830000,563.216296,1772.980519,2336.196814,0.000000
3.840000,556.359456,1772.949432,2329.308888,0.000000
3.850000,559.437875,1771.926796,2331.364671,0.000000
3.860000,571.380646,1770.500849,2341.881495,0.000000
3.870000,579.825602,1769.097626,2348.923228,0.000000
3.880000,583.243610,1767.902113,2351.145723,0.000000
3.890000,584.962488,1766.942239,2351.904727,0.000000
3.900000,585.108646,1766.729857,2351.838504,0.000000
3.910000,584.758309,1766.915067,2351.673376,0.000000
3.920000,585.451231,1767.403577,2352.854808,0.000000
3.930000,590.184294,1767.596753,2357.781046,0.000000
3.940000,588.952214,1768.910063,2357.862278,0.000000
3.950000,580.927652,1770.127957,2351.055609,0.000000
3.960000,571.148191,1770.176865,2341.325056,0.000000
3.970000,566.430219,1769.304608,2335.734827,0.000000
3.980000,568.445087,1766.455658,2334.900744,0.000000
3.990000,570.461106,1762.967542,2333.428648,0.000000
4.000000,577.334049,1759.637288,2336.971337,0.000000
4.010000,580.580564,1756.125383,2336.705948,0.000000
4.020000,582.962691,1753.058813,2336.021504,0.000000
4.030000,582.501091,1750.580648,2333.081739,0.000000
4.040000,575.050059,1748.269169,2323.319228,0.000000
4.050000,577.502282,1746.154941,2323.657223,0.000000
4.060000,584.918280,1744.216529,2329.134809,0.000000
4.070000,584.474120,1743.829957,2328.304078,0.000000
4.080000,582.664815,1743.918808,2326.583623,0.000000
4.090000,581.756540,1744.681717,2326.438256,0.000000
4.100000,580.331076,1744.874935,2325.206011,0.000000
4.110000,576.754874,1745.054522,2321.809396,0.000000
4.120000,576.310532,1744.568210,2320.878742,0.000000
4.130000,580.139693,1743.961607,2324.101300,0.000000
4.140000,583.760427,1743.413984,2327.174411,0.000000
4.150000,586.797089,1742.716202,2329.513291,0.000000
4.160000,588.117212,1742.711832,2330.829044,0.000000
4.170000,586.300239,1743.226918,2329.527157,0.000000
4.180000,582.981051,1743.843280,2326.824331,0.000000
4.190000,579.483282,1744.648651,2324.131934,0.000000
4.200000,578.066490,1746.736945,2324.803435,0.000000
4.210000,578.552874,1748.501467,2327.054342,0.000000
4.220000,577.353472,1749.567271,2326.920744,0.000000
4.230000,575.330409,1750.465686,2325.796095,0.000000
4.240000,573.190492,1751.985449,2325.175941,0.000000
